bench,threshold_model,performance_range,Model Name,Release Date,USD per 1M Tokens,benchmark_score
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Mistral Small 3,2025-01-30,0.475,74.0
MATH-500,GPT-3.5-Turbo-2023-06,"[44.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,80.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,76.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,76.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",DeepSeek-V3,2024-12-26,0.4775,89.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Mistral Small 3,2025-01-30,0.475,74.0
MATH-500,GPT-4 Turbo,"[74.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,80.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",DeepSeek-V3,2024-12-26,0.4775,89.0
MATH-500,GPT-4o-2024-05,"[79.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,93.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4-0125,2024-01-25,15.0,35.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3-Opus,2024-03-04,30.0,34.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,48.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,41.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,46.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemma-2-27B,2024-06-24,0.26,23.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-mini,2024-07-18,0.26,48.0
MATH 5,GPT-4-0613,"[23.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,39.0
MATH 5,GPT-4-0613,"[23.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,47.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,58.0
MATH 5,GPT-4-0613,"[23.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4-0613,"[23.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4-0613,"[23.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4-0613,"[23.0, 100]",Mistral Small 3,2025-01-30,0.475,45.0
MATH 5,GPT-4-0613,"[23.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,46.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,39.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,47.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Mistral Small 3,2025-01-30,0.475,45.0
MATH 5,GPT-4 Turbo,"[36.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,67.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,53.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,50.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",DeepSeek-V3,2024-12-26,0.4775,65.0
MATH 5,GPT-4o-2024-05,"[48.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,82.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4 Turbo,2023-11-06,15.0,92.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,71.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Large-2024-02,2024-02-26,6.0,69.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Small-2024-02,2024-02-26,1.5,79.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3-Sonnet,2024-03-04,6.0,71.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3-Opus,2024-03-04,30.0,83.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-8x22,2024-04-17,1.2,74.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,94.0
HumanEval,GPT-4-0314,"[67.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,83.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,90.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4o-mini,2024-07-18,0.26,88.0
HumanEval,GPT-4-0314,"[67.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,80.0
HumanEval,GPT-4-0314,"[67.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,91.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,93.0
HumanEval,GPT-4-0314,"[67.0, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,87.0
HumanEval,GPT-4-0314,"[67.0, 100]",Reka Core,2024-09-14,4.0,73.0
HumanEval,GPT-4-0314,"[67.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
HumanEval,GPT-4-0314,"[67.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,83.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,96.0
HumanEval,GPT-4-0314,"[67.0, 100]",Claude-3.5-Haiku,2024-10-22,1.6,87.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,90.0
HumanEval,GPT-4-0314,"[67.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,93.0
HumanEval,GPT-4-0314,"[67.0, 100]",Phi 4,2024-12-13,0.1225,87.0
HumanEval,GPT-4-0314,"[67.0, 100]",DeepSeek-V3,2024-12-26,0.4775,91.0
HumanEval,GPT-4-0314,"[67.0, 100]",Mistral Small 3,2025-01-30,0.475,85.0
HumanEval,GPT-4-0314,"[67.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,90.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-4 Turbo,2023-11-06,15.0,92.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,71.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Mistral-Small-2024-02,2024-02-26,1.5,79.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Claude-3-Sonnet,2024-03-04,6.0,71.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Claude-3-Opus,2024-03-04,30.0,83.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Mistral-8x22,2024-04-17,1.2,74.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-4o-2024-05,2024-05-13,7.5,94.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,83.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,90.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-4o-mini,2024-07-18,0.26,88.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Llama-3.1-Instruct-70B,2024-07-23,0.72,80.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Llama-3.1-Instruct-405B,2024-07-23,3.5,87.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Mistral-Large-2-2024-07,2024-07-24,3.0,91.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-4o-2024-08,2024-08-06,4.38,93.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,87.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Reka Core,2024-09-14,4.0,73.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,88.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,83.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,96.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Claude-3.5-Haiku,2024-10-22,1.6,87.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Mistral-Large-2-2024-11,2024-11-18,3.0,90.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",GPT-4o-2024-11,2024-11-20,4.38,93.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",DeepSeek-V3,2024-12-26,0.4775,91.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Mistral Small 3,2025-01-30,0.475,85.0
HumanEval,GPT-3.5-Turbo-2023-06,"[71.0, 100]",Gemini 2.0 Flash,2025-02-05,0.175,90.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4-0314,2023-03-14,37.5,1186.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4-0613,2023-06-13,37.5,1163.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-3.5-Turbo-2023-06,2023-06-13,3.25,1117.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4 Turbo,2023-11-06,15.0,1256.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4-0125,2024-01-25,15.0,1245.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-3.5-Turbo-2024-01,2024-01-25,0.75,1106.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Mistral-Large-2024-02,2024-02-26,6.0,1157.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Claude-3-Sonnet,2024-03-04,6.0,1201.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Claude-3-Opus,2024-03-04,30.0,1248.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Mistral-8x22,2024-04-17,1.2,1148.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Llama-3-Instruct-70B,2024-04-18,0.89,1206.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4o-2024-05,2024-05-13,7.5,1285.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,1260.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,1268.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemma-2-9B,2024-06-24,0.13,1190.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemma-2-27B,2024-06-24,0.26,1219.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4o-mini,2024-07-18,0.26,1273.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Llama-3.1-Instruct-70B,2024-07-23,0.72,1249.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Llama-3.1-Instruct-405B,2024-07-23,3.5,1266.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Mistral-Large-2-2024-07,2024-07-24,3.0,1251.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4o-2024-08,2024-08-06,4.38,1337.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemini 1.0 Pro,2024-08-12,0.75,1111.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Command R,2024-08-13,0.75,1180.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Command R+,2024-08-13,6.0,1215.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",DeepSeek-Coder-V2 236B,2024-09-11,0.175,1178.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Jamba 1.5-Large,2024-09-12,3.5,1221.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Command R+,2024-09-13,4.375,1215.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Reka Core,2024-09-14,4.0,1235.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,1301.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,1271.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,1282.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Claude-3.5-Haiku,2024-10-22,1.6,1236.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Mistral-Large-2-2024-11,2024-11-18,3.0,1247.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",GPT-4o-2024-11,2024-11-20,4.38,1361.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Phi 4,2024-12-13,0.1225,1204.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",DeepSeek-V3,2024-12-26,0.4775,1318.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Mistral Small 3,2025-01-30,0.475,1210.0
LMSys Chatbot Arena ELO,GPT-3.5 Turbo,"[1106.0, inf]",Gemini 2.0 Flash,2025-02-05,0.175,1358.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",GPT-4-0125,2024-01-25,15.0,1245.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Claude-3-Opus,2024-03-04,30.0,1248.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",GPT-4o-2024-05,2024-05-13,7.5,1285.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemini-1.5-Pro-2024-05,2024-05-23,2.19,1260.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,1268.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemma-2-9B,2024-06-24,0.13,1190.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemma-2-27B,2024-06-24,0.26,1219.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",GPT-4o-mini,2024-07-18,0.26,1273.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Llama-3.1-Instruct-70B,2024-07-23,0.72,1249.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Llama-3.1-Instruct-405B,2024-07-23,3.5,1266.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Mistral-Large-2-2024-07,2024-07-24,3.0,1251.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",GPT-4o-2024-08,2024-08-06,4.38,1337.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Command R+,2024-08-13,6.0,1215.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Jamba 1.5-Large,2024-09-12,3.5,1221.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Command R+,2024-09-13,4.375,1215.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Reka Core,2024-09-14,4.0,1235.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,1301.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemini-1.5-Flash-2024-09,2024-09-24,0.13,1271.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,1282.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Claude-3.5-Haiku,2024-10-22,1.6,1236.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Mistral-Large-2-2024-11,2024-11-18,3.0,1247.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",GPT-4o-2024-11,2024-11-20,4.38,1361.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Phi 4,2024-12-13,0.1225,1204.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",DeepSeek-V3,2024-12-26,0.4775,1318.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Mistral Small 3,2025-01-30,0.475,1210.0
LMSys Chatbot Arena ELO,GPT-4-0314,"[1186.0, inf]",Gemini 2.0 Flash,2025-02-05,0.175,1358.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,1268.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",Llama-3.1-Instruct-405B,2024-07-23,3.5,1266.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",GPT-4o-2024-08,2024-08-06,4.38,1337.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",Gemini-1.5-Pro-2024-09,2024-09-24,2.19,1301.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",Claude-3.5-Sonnet-2024-10,2024-10-22,6.0,1282.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",GPT-4o-2024-11,2024-11-20,4.38,1361.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",DeepSeek-V3,2024-12-26,0.4775,1318.0
LMSys Chatbot Arena ELO,GPT-4 Turbo,"[1256.0, inf]",Gemini 2.0 Flash,2025-02-05,0.175,1358.0
LMSys Chatbot Arena ELO,GPT-4o-2024-05,"[1285.0, inf]",GPT-4o-2024-11,2024-11-20,4.38,1361.0
